"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",7.3844,0.0176,419.7655,0
"trt_knot",-0.0599,0.0223,-2.6893,0.0073
"t",0.003,0.0019,1.5504,0.1214
"trt_knot:t",-0.0094,0.0021,-4.5488,0
"(Intercept)1",5.6709,0.0381,148.7837,0
"trt_knot1",-0.2069,0.0483,-4.2859,0
"t1",0.0041,0.0042,0.9715,0.3315
"trt_knot:t1",-0.0348,0.0045,-7.7382,0
"(Intercept)2",2.982,0.0956,31.1896,0
"trt_knot2",-0.6988,0.1216,-5.7493,0
"t2",-0.0024,0.0105,-0.2295,0.8185
"trt_knot:t2",-0.0804,0.0113,-7.1109,0
"(Intercept)3",4.54,0.0713,63.6841,0
"trt_knot3",-0.2003,0.0915,-2.1893,0.0288
"t3",0.0015,0.0078,0.1943,0.846
"trt_knot:t3",-0.0664,0.0085,-7.7857,0
